proceedingId,conferenceName
a0f76004-c1fa-4b71-9a60-46cf85edfac9,"International Conference on Advances in Computing, Communication Control and Networking (ICACCCN)"
ac5cdd07-94d2-47d3-b303-45f00c49d2f0,"International Conference on Advances in Computing, Communication and Applied Informatics (ACCAI)"
b4e518dc-b36e-4142-81f9-cce80214270e,International Conference on Advances in Electronics Computers and Communications
05410a8c-e768-4af3-9d77-c72fdc06c23c,International Conference on Advances in Engineering & Technology Research
8106a244-6ce5-44fa-baf9-1b1f08e63368,International Conference on Advances in ICT for Emerging Regions
7733ea08-e1d7-4ef7-b1bb-74a2d630bb7c,International Conference on Applications of Natural Language to Data Bases
f7da89b9-f99a-4293-9b7f-346ea0e4fb4c,International Conference on Applied Artificial Intelligence (ICAPAI)
5d5db9f6-330c-4f9e-b002-8ecb89fadfe1,International Conference on Applied Artificial Intelligence and Computing (ICAAIC)
0029e10c-6dbe-4a70-bece-14dd44f0706d,International Conference on Applied System Innovation
570ae9d1-3826-44fa-a46b-9b8df80904ae,International Conference on Artificial Intelligence and Big Data Analytics
aa410159-8832-41e6-96c3-e73473af171f,International Conference on Artificial Intelligence and Knowledge Discovery in Concurrent Engineering (ICECONF)
950c8b46-62af-4974-bf8d-d99571f5cbcc,International Conference on Artificial Intelligence for Innovations in Healthcare Industries (ICAIIHI)
d93ec4ad-330a-4d98-a203-7c045f51d6ed,International Conference on Augmented Intelligence and Sustainable Systems (ICAISS)
d17536be-79f8-4bd2-8585-063828580936,International Conference on Augmented Intelligence and Sustainable Systems (ICAISS)
c4847522-fec4-4e1c-bbd8-1a650e01fce6,"International Conference on Automation, Computing and Renewable Systems (ICACRS)"
7dd952f7-8d19-4608-acd3-c4f5bbe9454f,International Conference on Big Data & Artificial Intelligence & Software Engineering (ICBASE)
7644f5ff-9ec6-465a-b1ac-19e53b1ca27a,"International Conference on Big Data, Artificial Intelligence and Internet of Things Engineering (ICBAIE)"
c0b772da-2e2d-4adb-9d6b-835d729a587b,International Conference on BioMedical Engineering and Informatics
eb55694a-da30-42e5-a750-f613fbf62e90,International Conference on Business Management and Electronic Information
a60fe31c-1962-4ff6-a4dc-36d441e827ca,"International Conference on Circuit, Power and Computing Technologies"
534ee9e1-d0cf-4680-ad7d-3a52d7534b56,International Conference on Communication Software and Networks
897b130b-1588-459e-9aec-940162b3ab91,International Conference on Communication Systems and Network Technologies
4fae52c1-88af-4117-8b9c-ff603e07b1c0,International Conference on Communication Systems and Network Technologies
82364e2c-a07e-41d1-831e-c889a0e48183,"International Conference on Communication, Computing and Internet of Things (IC3IoT)"
097a6057-464f-4096-a115-f6fcebb186d1,"International Conference on Communication, Information & Computing Technology"
43f2c523-5ab8-4066-92c5-9defa82be53d,International Conference on Communications and Information Technology
a2ecf6cc-3da7-4ce8-b4c8-a911506e4456,"International Conference on Computation, Automation and Knowledge Management (ICCAKM)"
10554163-0aa9-47ba-af0c-822871c2e2b6,"International Conference on Computation, Automation and Knowledge Management (ICCAKM)"
97a927d8-de20-48b7-833d-1c0e525bacf1,International Conference on Computational Collective Intelligence
b57d930d-b169-4d70-88b7-33a3aba2dd5c,International Conference on Computational Collective Intelligence
736b2796-02c6-4ba7-8bf2-5746f5fabae8,International Conference on Computational Intelligence and Communication Networks
dbf32f5e-3fb7-44a0-8742-35188aeed6e7,International Conference on Computational Intelligence and Software Engineering
4282dc73-28f8-41c7-8792-559f2a491b66,International Conference on Computational Photography
8ff38e69-c000-43d5-b203-07474dd57864,"International Conference on Computer Graphics, Visualization, Computer Vision and Image Processing, International Conference on Big Data Analytics, Data Mining and Computational Intelligence and International Conference on Theory and Practice in Modern Computing"
9f71bb31-d8cd-499f-9315-59ad0bf68948,"International Conference on Computer Networks, Big Data and IoT (ICCBI )"
c09c7c55-2f31-4f94-a78f-d16decbf7ba5,International Conference on Computer Research and Development
80e8caf3-8701-423c-88f6-5b2361cbf2a0,International Conference on Computer Science and Engineering (UBMK)
66ab78ed-f557-4ff8-8182-ab03390f204c,International Conference on Computer and Information Technology (ICCIT)
aa941f94-c196-448c-b1fe-5b2e84fc3bb5,"International Conference on Computer, Communications, and Control Technology (I4CT)"
