authorId,name,affiliations
1758781,A. Mileo,
2286146745,Jacobijn Sandberg,
2290175,S. Fukami,
144470585,Kurt Gray,
1709642,Stijn Vansummeren,
145593987,F. Rousseau,
1680812,H. Mewes,
2213584150,Hong Lu,
1726587,L. Ni,
3183043,V. Csizmok,
66205537,Jaroslaw Kurpanik,
8720641,Andrea Coraddu,University of Strathclyde
1742391,J. Ullman,
4200780,P. Westers,
2203425373,Zhen Xie,
3090303,R. Wiggins,
33888744,Arianna Rossi,
48514695,Yichun Li,
2067217684,V. Buch,
2143789337,Liu Changyu,
2064200326,D. Winkler,
2111902454,Deming Chen,
6190636,Kwangmoo Koh,
7492822,K. Akkerhuis,
2109252750,Moien A. B. Khan,
50317934,A. Spigelman,
2110183222,A. Singh,
40513118,J. Hoffman,
143790499,Shashi Narayan,
12539663,J. Lund,
2056946837,Jeffrey Dean,
1727527,Johannes Hoffart,
2207323,Laura Ponting,
4953627,T. Elmslie,
100488495,K. Søeby,
3459634,P. Hakendorf,
144051547,Wen Hua,
1397296438,Keith Gengras,
1735528,Zuoyin Tang,
2391556,Ruslan Velkov,
2129698,Jingzhe Wang,
1731272,Thomas T. Hildebrandt,
3207604,Kevin P. Riehle,
145222654,Patrick Lewis,Facebook AI Research; University College London
47631901,Nayan P Agarwal,
8685112,Mengchao Xu,
40179523,J. L. Hafner,
6554291,D. Kercher,
2112817811,Mixue Xie,
2149869703,Jie Li,
143782010,C. Jabbour,
4588079,K. Skivington,
145326572,L. McIntyre,
1688400,Carman Neustaedter,
1829115,Christian Sandvig,
51121619,Nondas Fritzilas,
2767414,Gaurav Oberoi,
2054161893,Fang Ji,
4080239,Guillaume M. Hautbergue,
2280603808,Karwn Jameel Merceedi,
2130912558,Jiyun Jung,
3014341,Ryan Calo,
2708940,Shafiq R. Joty,
2513135,Zhengyu Yin,
39229748,Jasmine Collins,
2476931,Olivier Biton,
145114852,L. Cui,
2322641756,Yuxi Hu,
3368857,Nicolas Herbaut,
144391516,A. Nejad,
41219567,W. Meyerson,
25121568,Stacey Truex,
144320675,Bryan Hopkins,
2289228330,Hyuck-Chai Jung,
1684618,C. Saha,
2113682221,Sumaizar,
3085084,Abdullah Almaatouq,
1399240013,D. Pérez-Rey,
1720283,G. Quirchmayr,
2115459632,Chenkai Zhao,
2182252,Hao Sheng,
6639465,D. Cusanovich,
2103898541,Peres,
40196847,B. Qin,
3029816,H. Zha,
3458975,E. Saccenti,
6206286,Myungjae Song,
4062561,A. Hillmer,
40376159,B. Harrison,
102998577,Anu Sayal,
2125586928,Firas Hachem,
1746617,G. Antoniou,
2113836860,Lucile Saulnier,
30656312,Hong-Pu Liu,
2554988,Laura Rimell,
1687627,M. Vento,
2249852589,Vahid Azimi,
1737120,E. Markakis,
123354410,Shafiqul Hassan,
3245150,Claudia Marinica,
1743797,Isabelle M Guyon,CUSAT
2289371,R. Sperling,
47898664,M. Postman,
144605904,J. Manyika,
84257307,J. van der Lei,
47521175,Michael W. Godfrey,
14148287,Qianyun Liu,
2159676391,Ryan Froese,
1450320151,Download Here,
66149160,H. Vanhouten,
2192704,Michele Donini,Amazon
8380092,Jolene Wiegers,
50216408,Joseph B. Greer,
2114735619,J. Gray,
145905327,Kun He,
49084213,Jamie Schulte,
2253657042,Nuan Wen,
2238185300,Kevin A. Pelphrey,
2119404237,Jeffrey R. Jackson,
93610956,Xing Dong,
50436718,Eliran Soffer,
3611470,M. Calvert,
2275245661,Arun Vijayvergiya,
1873272,P. Kollock,
2340560442,Sugato Basu,
2216784342,A. Smith,
2055700747,Andrew M. Stuart,
2110032825,Teng Liu,
2126503480,Tanay Dixit,Indian Institute of Technology Madras; University of Illinois Urbana-Champaign
2680139,M. Damova,
9087356,Phyu Phyu Tar,
38341221,Ryan J. Langdon,
2296584170,Deepak R. Unni,
2227781946,O. Brandt,
7190188,S. Chia,
48829608,S. Dawson,
2114128654,Hongyi Yuan,
1797125,Theresa Schmiedel,
2168640,M. Niv,
2157096355,Xian Li,
5672082,J. Wysocka,
38897382,V. Ramani,
5899095,Bao-tao Huang,
2823704,Camille Grange,
2047273066,Jacobo Sarabia del Castillo,
50271213,Dhruv Kumar,University of Waterloo
2053962989,Kuan Fan,
48719618,B. van den Bogaard,
9538480,Xiaolong Lan,
146714837,F. Horn,
2211890078,Yunpeng Song,
2268989065,Skye Toor,
70374212,M. S. Koti,
1695053,P. Popelier,
46952184,Roya Hosseini,
34554263,Cansu Kaynak,
2054529275,R. Sari,
5393876,C. lin,
49141156,Ming Li,
2117911607,Hui-Min Liu,
2052309682,D. Johnston,
6742715,E. Shenoy,
2820139,S. Odelberg,
1740182,V. Braganholo,
2191069,Ki-Suh Lee,
3002395,C. Malathy,
145561687,J. Cazier,
48823772,P. Šulc,
1737677,M. C. Monard,
3349249,F. Güney,
39382062,B. Ahmad,
46214495,Alex Meincheim,
2368546,Remus Rusanu,
145853351,M. Giglio,
2530320,T. Oldfield,
2928009,A. Rademaker,
145738402,Weihua Xu,
50745535,N. Joshi,
37424630,Abdelmgeid A. Ali,
2193495165,Raynard Dizon,
2077430978,Andrew Tran,
9962271,R. Žydelis,
2124823801,Chun Zhang,
151506418,J. Kunz,
2053717791,B. Hill,
1705151,M. Tamer Özsu,University of Waterloo
144701494,S. M. Freire,
143913119,W. Ramsey,
1747187,V. Podgorelec,
1802752,W. Sihn,
39824354,Alexandra Olteanu,
3087664,Xiwei Xu,
145373086,Edward Lo,
4029506,A. Aliper,
39928654,Ben Garfinkel,
6820648,Xianglong Liu,
88389584,Gina R. Bai,
49813122,Kasthuri Kannan,
145589830,A. Sweatt,
48074866,Dong-Gwang Ha,
118055319,Vinita Thakkar,
144574968,Guang-Zhong Yang,
2119609873,Juan Zhang,
38546955,I. Tan,
144931569,Kan Ren,
143615345,Prateek Mittal,
2245791062,Thomas Huber,
21889436,Geoffrey J. Gordon,
2322538,Fuqian Shi,
12409549,K. Yamane,
31079182,Pierre Murat,
34013573,S. Tiwari,
37087124,Alexander Linhart,
50573370,K. Yoda,
152254937,Xin M. Tu,
2060396381,Peter Braun,
2631572,B. Daniel,
2240591850,Henrik Carl Schønheyder,
1722393,M. Cannataro,
8300579,P. Appelbaum,
2090511698,Eric Tang,
1933978557,F. D. Bona,
114107279,D. Dornevil,
1737314,Zhiping Jia,
1860134,Upasana T. Nagar,
2722106,P. Lozoya,
2242265266,Martin Nussbaumer,
2110705813,Bo Yu,
145955447,D. Mark,
34646264,D. Plunkett,
1737322,A. Aggarwal,
10438178,C. Oses,
39496676,Suman Nath,
46215559,Alexandre Pólvora,
96796526,M. Widjanarko,
40471981,J. Hachmann,
49336608,Wenping Wang,
145211352,Rob J Hyndman,Monash University
4476685,C. Çevik,
2145955157,Yang Zhang,
9518553,Sankhadeep Chatterjee,
1752920333,Sameer Quazi,
49722271,Jingwei Liu,
48598603,Zhenhuan Yang,"University at Albany, State University of New York"
2090776,Yifei Men,
1716776,K. Tochtermann,
2076233535,S. Steenstrup,
144588518,J. Denis,
66652934,Henry Shevlin,
5460194,J. V. D. van der Hooft,
2142291738,Parjanay Sharma,
143607492,John Wright,
2042112,Mark D. Barnell,
8812992,R. A. Shah,
1688464,E. Schweighofer,
2245796083,Ping Hu,
39570823,Kevin L. Ju,
2841354,M. Hajiesmaili,
145468237,Kelly Cohen,University of Cincinnati
3146111,M. Rocklin,
94334409,C. Marx,
2454800,F. Mahdisoltani,
2249760761,Tobias Kohn,
123672982,Rosaria Badia,
3538555,J. Himmelfarb,
2065846,D. Large,
1816756170,Nicola Cotumaccio,
3113901,Yi-Hong Shen,
72695689,Scott Sleek,
1762119,J. Rush,
40576371,I. S. Popa,
2133366067,Amanda Raybuck,
3266930,S. Slight,
2938766,N. Mohammadi,
4448238,J. Doudna,
2948541,Yinghui Wu,
123916256,Anne-Kathrin Stroppe,
2454387,R. Choudrey,
2941969,O. Oktay,
2004853317,Yaxin Yu,
145502789,Rodrigo Fonseca,
88711166,O. White,
46507194,Haiquan Wang,
2805576,D. Baurain,
2147370,E. Gorbatov,
145373095,Eric Lo,
2848948,Donovan H. Parks,
49680292,Kathleen H. Pine,
40599257,Jianxiong Xiao,
144516807,S. Monti,
145177877,Lucy Vasserman,
40994845,Zixuan Huang,
1407923153,Jesse Yli-Huumo,
8611013,G. Banks,
2115974,G. Sathe,
3172772,Thanawin Rakthanmanon,
2206462704,Carl Ka To Ma,
2053402806,Thomas Berg,
39449013,G. Barbareschi,
40171469,Ross Anderson,
2071790143,E. Harder,
6662640,J. Zi,
2116779113,Jungyun Seo,
34503384,H. Wouters,
2281031173,Md Tauhidur Rahman,
2448041,S. Wolfert,
2044564716,Sandhya Tripathi,
39694131,J. Proctor,
1411326718,G. Avner,
2113526509,Jonas Schneider,
2095536144,M. Koennecke,
1486501973,S. Nuagah,
2921307,P. Bumbulis,
2214914948,Xue-Wen Zhang,
38862746,C. Heining,
9452607,C. Wohler,
7269555,P. van der Harst,
40051569,S. Fiore,
3989389,B. Chow,
144276974,K. Shin,
145803228,Yuanli Liu,
50628121,P. V. Krishna,
2085752867,Irina Kolesnikov,
2110812558,Ji Eun Kim,
47122317,O. Neumann,
145616805,Eric S Toner,
2297712229,Subha P,
1740988,M. Kallahalla,
2214759714,Pooja S. B. Rao,
151114702,Mozhdeh Gheini,
49769821,Zhu Tianqing,
47106536,M. Sarazin,
2154848574,Zhuwei Xu,
80777216,Virletta C. Bryant,
2111078299,Shan Zhao,
1720838794,T. Ota,
2134273620,Lilli Waßermann,
3772997,B. Garvalov,
66246314,Marviola Hardini,
4716190,Sassan Ostvar,Columbia University
80170270,Luis E. Saldana,
5234725,M. Robertson,
2367620,J. Klingner,
50524491,K. Smith,
145219494,A. Tiwari,
144458717,P. Cohen,
8058201,Shuhui Song,
46481106,G. Schuler,
2251609107,Kathrin Lange,
3410614,Michael Turewicz,
79409712,N. Shatnawi,
145810617,Lillian Lee,Cornell University
4965331,P. Awadalla,
2016031,P. Butala,
1429300205,Robin Fernandez-Parsons,
2270971391,Peter E. Kloeden,
9630826,T. Chang,
2091934158,R. Britten,
4828342,D. Rayson,
48144236,K. Szwarc,
2108785480,W. Li,
11185121,J. Witowski,
144677268,Marcelo O. R. Prates,
2162779709,Krima Doshi,
1401723422,Moshe Oleshansky,
50418561,Chunlin Huang,
2716839,R. Frodeman,
2134780162,Michela Quitadamo,
2028127,Vitaly Petrov,
2136372976,P. Thanh,
143768623,Qian Li,
2237330681,John P. A. Ioannidis,
2086493456,Jotaro Ikedo,
3735801,S. Park,
15983089,Li Lucy,"University of California, Berkeley"
48521592,Yuxiang Ma,
2877311,Martín Arjovsky,
1740538,I. Kohane,
134151108,Jeffrey De Fauw,
2056952469,K. Sullivan,
49302932,Vivekanand V Gobre,
3682069,A. Giatromanolaki,
38961209,Moritz Hoffmann,
2367167,Mark W. Brantley,
2283435447,Fan Zhang,
11281735,A. Ladebue,
145220138,G. Marin,
32175397,K. H. C. Li,
35762948,Lauric A. Ferrat,
2264464950,Sanjay Oli,
49189010,David Conant,
50770786,Eric Spence,
153403199,Vinita Sharma,
2220750220,Amanda Askell,
1753903,Donald C. Comeau,
12783617,L. Trenaman,
1399485590,Miguel A. Martínez-Prieto,Universidad de Valladolid; Universidad de Chile
3206113,C. Trenham,
2107746806,B. Li,
1807409,J. Hesser,
144988795,Hao Ma,Facebook AI; Microsoft Research; The Chinese University of Hong Kong
40360972,Abdel-rahman Mohamed,
2431116,Ismael Amezcua Valdovinos,
9617260,Guozhen Jiang,
